marca,carrera,pr1,pr2,pr3,pr4,pr5,pr6,pr7,pr8,pr9,pr10,pr11,pr12,pr13,pr14,pr15,pr16,pr17,pr18,pr19,pr20,pr21,pr22,pr23,pr24,pr25,pr26,pr27,pr28,pr29,pr30,pr31,pr32,pr33,email,genero,semestre,promedio,generoNum,carreraNum,semestreNum,promedioNum
6/3/2019 17:33:32,Informática,4,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,4,5,5,2,5,5,5,5,5,5,5,5,5,5,6,5, ,Hombre,Cuarto semestre,de 81 a 85,1,9,4,4
6/3/2019 17:45:47,Informática,5,4,6,4,6,4,6,4,6,6,6,6,6,6,6,6,6,6,6,3,2,4,6,6,4,4,6,6,6,5,5,6,6, ,Mujer,Cuarto semestre,de 76 a 80,2,9,4,3
6/3/2019 17:58:19,Química,4,3,5,5,5,4,5,5,4,6,6,6,4,5,6,5,5,6,6,4,4,4,3,4,4,4,5,5,5,5,5,6,6, ,Mujer,Séptimo semestre,de 81 a 85,2,12,7,4
6/3/2019 18:48:39,Gestión Empresarial,4,4,4,3,5,4,5,4,4,5,5,3,4,3,3,2,2,4,4,4,3,3,3,3,2,1,4,4,4,4,5,6,5, ,Mujer,Onceavo semestre,de 81 a 85,2,7,11,4
6/3/2019 19:07:27,Bioquímica,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5, ,Mujer,Onceavo semestre,de 76 a 80,2,3,11,3
6/3/2019 20:50:58,Química,4,1,5,4,2,2,3,4,3,6,3,3,1,3,4,4,3,3,6,2,1,1,1,1,1,1,5,4,4,2,4,6,4, ,Mujer,Octavo semestre,de 86 a 90,2,12,8,5
6/3/2019 21:06:24,Química,5,5,5,5,6,5,5,6,5,6,6,5,6,6,6,6,6,6,5,4,4,4,4,5,4,3,5,5,5,5,5,6,6, ,Mujer,Sexto semestre,de 86 a 90,2,12,6,5
6/3/2019 21:27:27,Química,5,5,5,5,6,4,6,5,5,6,6,5,3,5,6,4,4,6,5,5,5,5,4,5,5,5,5,5,6,4,5,6,6, ,Hombre,Sexto semestre,de 91 a 95,1,12,6,6
6/3/2019 21:36:43,Sistemas Computacionales,5,4,3,3,4,5,3,4,3,4,3,6,6,6,6,4,4,6,5,5,3,5,4,5,4,4,5,4,5,5,5,6,3, ,Mujer,Doceavo semestre y superior,de 71 a 75,2,13,12,2
6/3/2019 23:19:51,Sistemas Computacionales,3,4,4,2,3,3,3,3,2,5,5,2,5,4,3,2,2,3,4,4,4,4,2,3,2,3,4,3,4,3,3,3,3, ,Mujer,Quinto semestre,de 81 a 85,2,13,5,4
7/3/2019 1:24:56,Mecatrónica,2,2,3,3,1,3,4,1,2,6,6,6,6,6,6,6,6,6,6,5,6,6,4,6,1,1,4,2,4,2,3,4,1, ,Hombre,Décimo semestre,de 81 a 85,1,11,10,4
7/3/2019 7:23:04,Química,3,1,2,1,3,3,5,2,3,6,6,5,5,2,6,5,5,5,5,4,1,1,1,1,1,1,1,2,3,4,4,6,3, ,Hombre,Onceavo semestre,de 81 a 85,1,12,11,4
7/3/2019 7:45:52,Arquitectura,3,2,4,4,5,3,4,3,4,6,6,6,5,5,5,3,4,6,6,3,3,2,1,2,1,1,5,4,6,5,4,4,4, ,Mujer,Octavo semestre,de 91 a 95,2,2,8,6
7/3/2019 8:20:47,Gestión Empresarial,4,4,4,6,6,2,4,4,4,6,6,1,2,4,4,3,4,2,6,6,6,4,3,2,1,1,6,3,3,3,4,6,3, ,Hombre,Décimo semestre,de 91 a 95,1,7,10,6
7/3/2019 8:25:44,Gestión Empresarial,4,4,4,3,3,3,4,4,5,5,5,4,3,3,4,5,4,4,5,3,2,3,3,2,3,4,5,4,6,4,5,4,4, ,Hombre,Décimo semestre,de 86 a 90,1,7,10,5
7/3/2019 8:36:29,Gestión Empresarial,5,5,4,4,6,5,5,4,6,6,6,6,5,5,5,5,5,5,6,5,4,2,3,6,5,3,5,6,6,6, ,6,6, ,Hombre,Noveno semestre,de 91 a 95,1,7,9,6
7/3/2019 9:49:39,Informática,4,3,3,2,3,3,4,4,3,3,4,3,1,3,3,2,4,6,6,1,1,1,2,3,2,2,3,3,4,2,3,6,5, ,Mujer,Cuarto semestre,de 76 a 80,2,9,4,3
7/3/2019 11:01:25,Gestión Empresarial,4,4,4,4,3,4,4,3,3,4,4,2,3,3,3,2,3,5,4,4,3,3,3,3,2,3,3,2,4,4,4,4,3, ,Mujer,Octavo semestre,de 91 a 95,2,7,8,6
7/3/2019 14:55:39,Gestión Empresarial,6,6,6,4,3,4,3,4,6,6,6,6,6,5,6,6,4,5,6,3,1,4,1,5,1,1,4,5,6,6,6,6,6, ,Mujer,Tercer semestre,de 86 a 90,2,7,3,5
7/3/2019 15:51:33,Gestión Empresarial,5,4,4,5,5,5,5,5,5,5,5,5,6,5,6,6,5,5,5,4,5,5,5, ,5,5,5,5,5,5,5,6,5, ,Hombre,Onceavo semestre,de 81 a 85,1,7,11,4
